,company_name,description,tags,image_link
0,Aeonus,Aeonus is a carbon neutral startup company that offers eco-friendly power source to replace diesel generators.,"['energy-0ff0', 'environmental-engineering-5941', 'greentech', 'renewable-energy']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/egglr7lv1lbtpioxyxpu.jpg"
1,AirForestry,"#Re-inventing Forestry. We are building the forestry of the future, from above with drones.","['drones', 'environmental-engineering-5941', 'forestry-9c5d', 'greentech', 'sustainability-e391']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/plqwvnaet1ox41pxfytu.jpg"
2,AlphaEdge,Gridustry is an information technology company that empowers the transition to green energy through digital solutions.,"['big-data', 'greentech', 'information-technology-dbca', 'renewable-energy']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kbqhk1f437efkvevn5re.jpg"
3,Altruistiq,Gurus Solutions is a 9 year 5-star NetSuite ERP & Dell Boomi partner with 15 of experience working to scale up businesses with Cloud tech.,"['cleantech', 'greentech', 'software', 'sustainability-e391']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zty2zold6nqyhsyj9xws.jpg"
4,American Express,UBS is a global financial services company that engages in the provision of financial management solutions.,"['finance', 'financial-services', 'payments']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bi0hxxjotj6herwrcgdb.jpg"
5,Andes - Crunchbase Investor Profile & Investments,Andes develops an integrated microbial technology to help accelerate crop growth.,"['agriculture', 'agtech', 'biotechnology', 'greentech', 'sustainability-e391']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/u7utfet2oqdglu5mjrge.jpg"
6,Arva Greentech,Arva Greentech is a chemical company that provides processes and products for remediation of contaminated soils and sludges.,"['chemical', 'environmental-consulting', 'greentech']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/iufocq5drsyk0qblx8j6.jpg"
7,ASHA by ADM,ASHA designs and produces fine fashion jewelry handcrafted and established a new category of jewelry that bridges fine and costume.,"['architecture', 'art', 'email', 'fashion', 'wholesale']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/oeqvferkhyh8eqwg64qy.jpg"
8,Bazar365 Limited,An online grocery platform with a purpose.,"['e-commerce-275d', 'greentech', 'retail']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kbgzxhzajwyhcftmtobd.jpg"
9,BELGIQUE DEPANNAGE PHOTOVOLTAIQUE,Dachgold advises companies in Austria on the implementation of photovoltaic systems on their roofs.,"['greentech', 'renewable-energy', 'solar-c3d5']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/15c178078abe278faef4.jpg"
10,Biocom,Biocom is a green bio management company.,['greentech'],"https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/f5iksqyzm4fvfo9lnowe.jpg"
11,Blok-Z,Using AI & Blockchain in the energy markets.,"['blockchain', 'cleantech', 'energy-0ff0', 'greentech', 'saas-5c4e', 'software']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/stqnxozl1jrdxd8aqcab.jpg"
12,Blueit,Blueit builds a software-based Water Management System that monitors and optimizes water consumption in buildings and industry in real time.,['greentech'],"https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/koqq9vhiejqmvsnhszdj.jpg"
13,Bringly,Habitat Logistics is a food delivery startup that doesn’t have a consumer mobile app but helps restaurants make deliveries.,"['delivery-service-758d', 'e-commerce-275d', 'greentech', 'logistics', 'same-day-delivery', 'sustainability-e391']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gymnhvpvd8diqpdykqva.jpg"
14,Carbon Limiting Technologies,AMB Consulting Services is a consulting firm that supports the implementation of HRIS integration and migration projects.,"['advice', 'consulting', 'greentech']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/cx0chm7onqjcvqzjuqbo.jpg"
15,Cardinal Capital Management,Cardinal Capital Management is an investment firm that specializes in focused on small and mid cap value equities and superior long-term.,"['banking', 'finance', 'financial-services']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/96cb31e3d3d3e7d1e04d.jpg"
16,Carnegie Prep,Carnegie Prep is an education company that specializes in test preparation and private tutoring.,"['education', 'training', 'tutoring']","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xxzydrbupcuppp5zqp7o.jpg"
